,index,PNW
185,915,272108.8541347486
186,916,262040.70629542062
187,917,241039.6839126672
188,918,241827.12050445128
189,919,242310.18934388092
190,920,243630.4916590981
191,921,244295.7802908227
192,922,254111.32927345223
193,923,268517.73076316796
194,924,253999.9366779392
195,925,224005.77729675948
196,926,233715.70574567575
197,927,328590.82931886066
198,928,300329.6707322863
199,929,288956.9112332483
200,930,289051.372834226
201,931,292356.14000855805
202,932,275863.6340933392
203,933,294291.6874516857
204,934,309416.67326806166
205,935,275112.02603391116
206,936,271660.1474452045
207,937,270170.4124135268
208,938,245975.36393594614
209,939,229497.48345830094
210,940,222002.35698586097
211,941,211429.29589156655
212,942,212367.39627266172
213,943,209911.79792889854
214,944,231883.9243118712
215,945,209546.62957949672
216,946,223150.33364920033
217,947,200223.6637346968
218,948,169877.95978695585
219,949,163839.74024539135
220,950,164347.9696977553
221,951,160970.0317313862
222,952,159071.97291742836
223,953,156212.4383012338
224,954,150416.6413930443
225,955,159429.33425254974
226,956,155195.63745774515
227,957,163294.01612027368
228,958,146537.60105939937
229,959,149070.61595257322
230,960,146060.13512351457
231,961,142613.29542289698
232,962,123612.55614470018
233,963,136151.47916818957
234,964,146793.15150313923
235,965,144298.81333582778
236,966,139350.92553064798
237,967,136996.8424753425
238,968,137378.07655030655
239,969,137255.29928909757
240,970,151000.01845232
241,971,152620.61572682665
242,972,227407.03904959487
243,973,154591.10294684992
244,974,160935.25353751204
245,975,156728.909168016
246,976,139801.29049685877
247,977,135455.95761979345
248,978,127168.87178166027
249,979,123513.56718559083
250,980,114775.7916319174
251,981,103474.47067499743
252,982,108296.69315298487
253,983,113647.37015933065
254,984,119711.20840583135
255,985,107462.77418127275
256,986,103781.91165893314
257,987,108099.53867437625
258,988,105618.72293584741
259,989,111868.18925630611
260,990,108457.4502884167
261,991,107780.37448303156
262,992,108138.51316637329
263,993,122738.67899312716
264,994,129506.25395370323
265,995,128743.20959658702
266,996,131427.2825781933
267,997,131128.4935996854
268,998,128778.10614815558
269,999,153321.64856925083
270,1000,138843.001694211
271,1001,151482.12196725563
272,1002,149726.04204380477
273,1003,157740.26119183743
274,1004,177732.0300025948
275,1005,162953.97729437693
276,1006,161973.20160195755
277,1007,160438.54694508424
278,1008,158134.46442096922
279,1009,160537.21234002284
280,1010,168556.5536158882
281,1011,186316.1565480687
282,1012,178181.05124173238
283,1013,152445.13551433408
284,1014,158591.82602984228
285,1015,152931.99088238383
286,1016,155057.77947501716
287,1017,154272.12418041768
288,1018,157423.34260149943
289,1019,155857.7717875716
290,1020,150944.1914417288
291,1021,145437.5515303603
292,1022,140546.09424189446
293,1023,139492.791588782
294,1024,134413.87112807506
295,1025,130084.33430311937
296,1026,131254.9183815936
297,1027,129450.3483674987
298,1028,131120.35961524298
299,1029,146997.97410242696
300,1030,172411.43557742354
301,1031,156567.84975247437
302,1032,156522.73990157738
303,1033,167618.0257141927
304,1034,154093.99352455395
305,1035,126406.60626388852
306,1036,146410.47484743572
307,1037,137653.13733242863
308,1038,135772.53150657937
309,1039,140347.19585342327
310,1040,137859.50004547145
311,1041,144196.36096940326
312,1042,130523.87406368299
313,1043,124853.85103027892
314,1044,121089.65348503958
315,1045,118661.62635481253
316,1046,109192.29252433043
317,1047,111589.52410371866
318,1048,111663.32417886854
319,1049,114762.93010823277
320,1050,117228.30290682559
321,1051,137531.65280027836
322,1052,143831.56064441954
323,1053,144637.84995841986
324,1054,148987.13166184875
325,1055,143612.1875784105
326,1056,166152.2028132174
327,1057,214589.30937806363
328,1058,204227.71493851912
329,1059,215727.99215738085
330,1060,219672.92632229577
331,1061,201880.39792951162
332,1062,179283.79625534386
333,1063,155473.52204874385
334,1064,153378.1747307312
335,1065,183273.27805438652
336,1066,167296.88321160068
337,1067,176557.8339222629
338,1068,154642.4689781174
339,1069,157819.89682757933
340,1070,157915.38701543535
341,1071,148350.7414790646
342,1072,158756.47410972585
343,1073,154966.40653110895
344,1074,150086.15850544925
345,1075,149319.2977144774
346,1076,145834.6455696952
347,1077,148644.32611951415
348,1078,149637.06319218216
349,1079,150971.34420010468
350,1080,147639.2141959345
351,1081,144762.71213542702
352,1082,139347.9844347223
353,1083,136078.04183420123
354,1084,131149.9225281713
355,1085,137775.7750617859
356,1086,145415.7823148858
357,1087,145884.861100119
358,1088,143689.63387008707
359,1089,143098.726421868
360,1090,140906.8799229864
361,1091,141021.5765357288
362,1092,139399.6072785055
363,1093,157472.1028727106
364,1094,148693.7279394579
