,Site1,Site2,Site3,Site4,Site5,Site6,Site7
114,8135.0,7919.0,7875.5,8174.0,8073.0,8275.5,8078.5
115,8244.0,7808.5,7920.0,8164.5,8064.0,8177.5,8027.0
116,8263.5,7860.5,7897.5,8249.0,7972.0,8289.0,8264.0
117,8301.5,8039.5,7995.5,8222.5,8087.5,8207.5,8115.5
118,8448.0,8069.0,8080.0,8434.0,8244.5,8375.0,8243.0
119,8454.5,8092.5,8115.0,8502.5,8336.0,8411.0,8289.5
120,8516.0,8193.0,8121.5,8525.5,8340.5,8517.0,8451.5
121,8560.0,8199.0,8245.0,8651.5,8332.5,8581.0,8473.0
122,8376.0,8150.5,8323.5,8666.5,8398.5,8524.5,8358.5
123,8529.0,8184.5,8158.0,8488.0,8233.5,8647.0,8348.0
124,8588.0,8173.5,8265.5,8563.5,8272.5,8511.5,8362.0
125,8499.0,8270.0,8319.5,8560.5,8323.0,8490.0,8273.0
126,8629.5,8291.5,8285.5,8557.5,8356.5,8521.5,8363.0
127,8606.5,8287.0,8365.5,8664.0,8432.5,8520.0,8287.5
128,8819.0,8300.0,8391.5,8720.0,8519.0,8723.0,8391.5
129,8744.0,8331.5,8434.5,8707.0,8471.5,8596.0,8386.5
130,8813.5,8471.0,8607.5,8750.5,8599.5,8699.5,8555.5
131,8690.0,8330.0,8479.0,8762.5,8536.5,8783.5,8648.0
132,8716.0,8376.5,8526.0,8809.5,8579.0,8803.5,8652.0
133,8786.5,8309.5,8504.5,8774.5,8575.5,8768.5,8572.5
134,8724.0,8320.0,8471.5,8855.5,8644.5,8950.0,8622.5
135,9060.5,8331.5,8398.0,8676.0,8414.0,8704.5,8456.0
136,9185.5,8505.5,8516.0,8777.5,8488.0,8641.0,8438.5
137,9158.5,8517.5,8571.0,8742.0,8474.5,8721.5,8571.5
138,8941.0,8630.0,8647.0,8793.5,8615.0,8827.0,8673.0
139,8906.0,8693.5,8661.0,8904.0,8559.0,8818.5,8563.5
140,9002.0,8690.5,8553.5,8929.0,8613.0,8886.0,8652.0
141,9044.5,8822.0,8742.0,9003.0,8672.5,8880.5,8666.0
142,8941.0,8684.5,8855.5,9033.0,8612.5,8832.5,8643.0
143,8879.0,8595.0,8756.0,8990.5,8683.5,8854.5,8626.0
144,8880.5,8526.5,8663.5,8918.0,8556.5,8909.0,8695.0
145,8983.0,8577.0,8754.0,8830.5,8547.0,8851.0,8784.0
146,9041.5,8686.5,8888.0,8966.5,8672.0,8824.0,8631.0
147,9140.0,8871.5,8807.5,9054.5,8725.5,8985.0,8820.0
148,9098.5,8736.0,8844.0,9054.5,8841.5,8988.0,8862.5
149,9078.0,8754.5,8909.5,9077.0,8749.0,8977.5,8851.0
150,9185.0,8866.5,8901.0,9122.5,8890.5,9029.5,8851.0
151,9075.0,8825.0,8837.0,9230.0,8789.5,9130.5,8877.5
152,9082.0,8799.0,8899.0,9246.0,8869.5,9153.5,8992.5
153,9185.0,8857.5,8918.5,9276.5,8962.0,9339.0,9072.0
154,9153.5,8848.0,8819.0,9241.0,8903.5,9318.5,9060.0
155,9179.5,8806.0,8962.0,9111.0,8848.5,9127.0,9040.5
156,9156.0,8779.0,8937.0,9132.5,8800.5,9236.5,8840.0
157,9212.0,8944.0,8936.5,9095.0,8835.5,9104.5,8914.5
158,9339.5,9090.0,8966.5,9125.5,8635.5,9029.0,8744.5
159,9358.0,9115.5,9135.0,9221.5,8781.5,9162.0,8949.0
160,9381.0,9264.0,9041.5,9229.5,8830.0,9123.0,8949.0
161,9253.0,8997.0,9155.5,9285.0,8884.0,9254.5,9002.5
162,9353.0,9021.0,9041.0,9161.0,8845.0,9191.5,8998.0
163,9257.5,9083.0,9144.5,9321.0,8936.5,9138.5,8907.0
164,9254.0,8948.5,9077.0,9306.0,8855.0,9282.5,9052.0
165,9227.5,8947.5,9047.0,9192.0,8882.0,9261.0,8994.0
166,9280.0,9078.5,9136.0,9368.0,8918.0,9232.0,8970.5
167,9295.5,8960.0,9061.5,9280.5,8946.0,9247.0,9016.0
168,9243.0,9021.0,9113.5,9215.5,8953.5,9159.0,9029.5
169,9325.5,8962.5,9036.0,9326.5,9002.0,9197.5,8942.0
170,9224.5,9093.5,9122.0,9241.5,8943.5,9155.5,9066.0
171,9267.0,8950.0,8984.5,9230.0,8842.5,9180.5,9079.5
172,9298.5,8955.5,9236.5,9369.0,8908.0,9278.0,8935.5
173,9260.0,8961.0,9101.0,9163.0,8843.5,9225.5,8991.5
174,9270.5,8968.5,9125.5,9212.5,8923.0,9169.0,8823.0
175,9236.5,9019.5,8998.0,9298.5,8985.5,9224.5,8870.5
176,9258.5,8896.0,9052.5,9183.5,8885.0,9156.0,9023.0
177,9199.5,8889.5,9028.0,9285.0,8971.5,9191.0,9070.5
178,9195.5,8836.5,9081.0,9161.0,8886.0,9255.0,9033.5
179,9266.0,9007.5,8983.5,9209.0,8823.0,9045.5,9002.5
180,9222.5,8897.5,9165.0,9253.0,8856.0,9230.5,8888.0
181,9104.0,8892.5,9035.5,9244.0,8914.5,9063.5,8837.5
182,9142.0,8805.5,9026.0,9351.0,9045.5,9302.0,8845.0
183,9238.0,8946.0,9019.5,9290.5,8918.5,9163.5,8862.5
184,9242.0,8983.5,9079.0,9151.5,8796.0,9204.5,9004.0
185,9221.0,8912.0,8873.0,9111.5,8824.0,9100.5,8973.5
186,9148.5,8918.5,9000.0,9125.5,8792.5,9186.5,8811.5
187,9097.0,8811.5,9014.5,9151.5,8870.0,9036.0,8754.0
188,9202.0,8932.5,9158.5,9215.5,8845.5,9093.5,8793.0
189,9185.5,8870.0,8975.0,9059.0,8677.0,8979.5,8612.5
190,9127.0,8814.5,8930.5,9047.5,8652.0,8785.0,8690.5
191,9140.5,8818.0,8917.5,9027.0,8667.5,8938.5,8755.0
