datetime,realization,ORO_inf,SHA_inf,FOL_inf,YRS_inf,MHB_inf,PAR_inf,NHG_inf,NML_inf,DNP_inf,EXC_inf,MIL_inf,PFT_inf,KWH_inf,SUC_inf,ISB_inf,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_evap,SHA_evap,FOL_evap,YRS_evap,MHB_evap,PAR_evap,NHG_evap,NML_evap,DNP_evap,EXC_evap,MIL_evap,PFT_evap,KWH_evap,SUC_evap,ISB_evap,ORO_precip,SHA_precip,FOL_precip,YRS_precip,MHB_precip,PAR_precip,NHG_precip,NML_precip,DNP_precip,EXC_precip,MIL_precip,PFT_precip,KWH_precip,SUC_precip,ISB_precip,ORO_fci,SHA_fci,FOL_fci,YRS_fci,MHB_fci,PAR_fci,NHG_fci,NML_fci,DNP_fci,EXC_fci,MIL_fci,PFT_fci,KWH_fci,SUC_fci,ISB_fci,ORO_snow,SHA_snow,FOL_snow,YRS_snow,MHB_snow,PAR_snow,NHG_snow,NML_snow,DNP_snow,EXC_snow,MIL_snow,PFT_snow,KWH_snow,SUC_snow,ISB_snow,ORO_gains,SHA_gains,FOL_gains,YRS_gains,MHB_gains,PAR_gains,NHG_gains,NML_gains,DNP_gains,EXC_gains,MIL_gains,PFT_gains,KWH_gains,SUC_gains,ISB_gains,SAC_gains,SJ_gains,delta_depletions,CCC_pump,BRK_pump,EAST_gains
1/21/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29067.50839,23105.17965,1699.879013,4696.328473,1390.91345,836.5483893,508.8998161,1018.599963,3725.044051,471.184529,1145.69295,2787.915238,166.5308031,146.7195102,663.4151529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22248.23171,21635.4335,2533.250697,9608.035623,2046.714082,1063.219773,1566.949585,1000.579358,4506.191792,512.9002909,1028.492849,1841.781419,182.389557,146.7195102,782.3402258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44004.66547,20361.43957,2378.34663,12504.76017,991.8927836,1000.115699,1055.683635,909.2971751,2460.894747,470.0642386,424.0435645,1188.56423,835.3063991,148.5531763,1333.097216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26745.12922,18360.59519,2311.058905,9455.712227,571.4664665,740.7437577,628.4348348,983.7635446,2006.780553,684.2445,3159.220643,1522.725066,1402.291569,258.5862535,1247.574777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19323.15898,18230.62855,2272.739461,13952.65804,657.0597888,665.9738176,453.2762736,914.1035242,1360.321655,998.7449649,1302.401533,1522.725066,790.368634,441.9903238,1308.071353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19323.15898,19636.19365,2992.067599,16645.14952,1100.150913,509.4137704,347.9509884,941.7240107,2007.850455,977.3269388,3967.812544,2177.25269,416.3270078,364.9726015,1149.518516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15528.1182,18419.96267,3491.745022,14115.71425,804.3371116,598.198235,284.0395122,876.8575225,1896.699468,876.9946892,1859.456543,1908.820497,319.841349,383.3092625,876.2185461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12746.08475,27368.4062,2913.80242,13038.30486,576.5030903,651.9463884,295.870182,1178.363009,1360.321655,662.8264739,1841.034273,1261.134722,265.6549586,320.957123,859.5276743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10397.82994,27456.65515,2963.099318,12279.78388,449.3722628,473.190225,1408.302243,538.1316681,1334.643994,644.7813652,1752.766414,1304.958415,256.4063333,260.4217926,859.5276743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10070.12536,32502.89057,2394.507881,9875.63357,541.2613649,438.1410091,1043.840035,681.0660834,1883.860637,621.1107121,1672.450614,1295.371551,455.9877794,240.2495925,801.1200678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9469.360427,32188.4034,1981.633655,8496.879787,474.5407406,401.9174637,700.6342446,673.8629682,786.473478,607.5829036,1755.4171,1039.31262,330.4231095,223.7484706,765.6493539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864.160494,29797.65912,3398.53831,3243.167394,434.24775,281.6712949,215.7190104,1278.899016,1609.490072,1099.18563,1314.926026,1369.555947,310.7732524,225.9024195,1153.090655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916.876091,30442.67872,2438.214409,3267.625825,377.1172088,250.3773521,193.402359,1198.882916,1507.136061,1292.188788,909.4372669,1154.69984,299.9276422,224.0668804,871.3094661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424.928284,27135.74988,2417.17429,4087.757286,338.537256,260.8172695,157.2767947,1051.56511,894.6644016,850.8666247,1340.452137,1159.720874,296.3170678,233.2445759,933.268322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.277019,33346.87144,2222.01956,3894.360236,319.9720263,289.788363,137.0806131,1320.784747,894.6644016,771.2175871,1097.476964,1079.301568,296.3170678,235.080115,877.3048106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
