datetime,realization,ORO_snow,SHA_snow,FOL_snow,YRS_snow,MHB_snow,PAR_snow,NHG_snow,NML_snow,DNP_snow,EXC_snow,MIL_snow,PFT_snow,KWH_snow,SUC_snow,ISB_snow,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_storage,SHA_storage,FOL_storage,YRS_storage,MHB_storage,PAR_storage,NHG_storage,NML_storage,DNP_storage,EXC_storage,MIL_storage,PFT_storage,KWH_storage,SUC_storage,ISB_storage,ORO_inf,SHA_inf,FOL_inf,YRS_inf,MHB_inf,PAR_inf,NHG_inf,NML_inf,DNP_inf,EXC_inf,MIL_inf,PFT_inf,KWH_inf,SUC_inf,ISB_inf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf,ORO_evap,SHA_evap,FOL_evap,YRS_evap,MHB_evap,PAR_evap,NHG_evap,NML_evap,DNP_evap,EXC_evap,MIL_evap,PFT_evap,KWH_evap,SUC_evap,ISB_evap,ORO_precip,SHA_precip,FOL_precip,YRS_precip,MHB_precip,PAR_precip,NHG_precip,NML_precip,DNP_precip,EXC_precip,MIL_precip,PFT_precip,KWH_precip,SUC_precip,ISB_precip,ORO_fci,SHA_fci,FOL_fci,YRS_fci,MHB_fci,PAR_fci,NHG_fci,NML_fci,DNP_fci,EXC_fci,MIL_fci,PFT_fci,KWH_fci,SUC_fci,ISB_fci,ORO_gains,SHA_gains,FOL_gains,YRS_gains,MHB_gains,PAR_gains,NHG_gains,NML_gains,DNP_gains,EXC_gains,MIL_gains,PFT_gains,KWH_gains,SUC_gains,ISB_gains,SAC_gains,SJ_gains,delta_depletion,OMR,SL_storage,SLS_storage,SLF_storage,SLS_out,SLF_out,HRO_pump,TRP_pump,delta_inflow,vernalis_inflow
10/11/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,8.04,2858.5,2798.1,590.27,205.95,0,178.28,33.41,130.81,0,48.114,360.42,581.4,108.33,49.492,465.12,2.72E+06,3.09E+06,6.94E+05,6.65E+05,0,1.79E+05,1.46E+05,1.99E+06,1.67E+06,6.88E+05,2.21E+05,3.35E+05,10962,9968,2.74E+05,2491,4850,937,10.083,11,243,2,1167,616,0,664,604,52,15,230,3255,3816,2810,2087.2,11,335,71,1408,1740,1313,1711,213,40,67,1022,102,89,47,0,0,11.801,5.292,15,15.6,8.5764,29.336,35.742,12.871,16.212,100.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.30E+05,194.9,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-296,14,-222,0,-708,-1644,-450,-228.29,0,0,0,0,2305.8,23.8,-2059,0,9.97E+05,8.43E+05,3.32E+05,2303.7,605.24,5054,4313,16008,2030
10/12/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,8.04,2307.6,7915.6,667.99,205.95,0,147.65,52.899,188.32,140.67,57.05,490.31,492.84,108.33,46.32,465.12,2.72E+06,3.09E+06,6.91E+05,6.65E+05,0,1.79E+05,1.46E+05,1.99E+06,1.67E+06,6.88E+05,2.19E+05,3.35E+05,10978,9861,2.72E+05,2808,4022,1222,10.083,11,253,0,726,0,0,635,512,51,14,245,3576,3694,2894,2084.3,11,331,69,2179,1469,1359,1439,149,39,65,939,95,85,54,0,0,11.801,5.292,15,15.6,8.5764,15.44,18.812,11.032,13.896,72.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.32E+05,195.45,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-362.4,14,-214,0,-974,-1927,-649,-218.17,0,0,0,0,1386.1,257.7,-2074,0,1.00E+06,8.43E+05,3.32E+05,2303.7,605.24,4990,4243,15602,2330
10/13/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,8.04,2778.6,6746.7,714.23,205.95,0,125.66,0,154.49,279.47,50.864,600.71,254.12,104.24,43.147,443.05,2.72E+06,3.09E+06,6.87E+05,6.65E+05,0,1.79E+05,1.46E+05,1.98E+06,1.67E+06,6.88E+05,2.17E+05,3.35E+05,10993,9745,2.71E+05,1777,2884,952,238.19,12,233,30,711,701,0,618,264,46,12,194,3605,3693,2779,1365.5,12,333,69,2215,1822,1225,1479,149,36,68,914,122,75,41,0,0,11.801,5.292,15,15.6,8.5764,38.6,47.03,8.5803,10.808,86.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.31E+05,195.78,0,0,0.37,0,0,0,0,85,83560,0,0,0,0,0,0,-362.4,14,-224,0,-1011,-226,-808,-126.58,0,0,0,0,2401.9,329.5,-2068,0,1.01E+06,8.43E+05,3.32E+05,2303.7,605.24,5592,4243,16572,3090
10/14/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0,0,0,8.04,3869.4,11200,446.64,205.95,0,150.01,0,266.69,300.1,23.37,322.27,480.33,108.33,38.071,490.58,2.71E+06,3.08E+06,6.83E+05,6.50E+05,0,1.69E+05,1.46E+05,1.98E+06,1.66E+06,6.68E+05,2.15E+05,3.36E+05,11009,9650,2.69E+05,1819,3466,935,238.19,12,474,19,1021,225,0,597,499,46,29,252,3616,3713,2776,1375.6,12,328,69,2596,1904,1864,1528,147,35,74,942,102,103,63,0,0,11.801,5.292,15,15.6,8.5764,21.616,26.337,8.5803,10.808,72.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.31E+05,196.33,0,0,4.544,0,0,0,0,85,83560,0,0,0,0,0,0,-361.4,15,-219,0,-1398,-199,-788,-30.62,0,0,0,0,1660.8,-70.6,-2023,0,1.02E+06,8.43E+05,3.32E+05,2303.7,605.24,5389,4292,16160,3380
10/15/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0.03,0,0,8.04,2497.7,11764,384.66,205.95,0,175.92,36.194,131.94,28.134,67.36,271.94,502.47,107.65,39.975,390.43,2.71E+06,3.09E+06,6.80E+05,6.50E+05,0,1.69E+05,1.46E+05,1.98E+06,1.66E+06,6.68E+05,2.13E+05,3.37E+05,11029,9536,2.69E+05,2204,4046,1123,238.19,22,629,0,1001,296,0,484,522,49,18,229,3485,3726,2694,1380.5,22,323,69,1945,1972,1882,1443,148,36,73,938,204,94,47,0,0,11.801,5.292,15,15.6,8.5764,27.792,33.861,8.5803,10.808,93.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.33E+05,196.88,0,0,4.544,0,0,0,0,85,83560,0,0,0,0,0,0,-196.37,5,-209,0,-811,-537,-1048,131.67,0,0,0,0,1089.9,678.5,-2021,0,1.02E+06,8.43E+05,3.32E+05,2303.7,605.24,5047,4319,15669,3490
10/16/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0.06,0,0,8.04,2297.9,10359,298.09,205.95,0,95.816,36.194,213.69,825.27,60.487,336.07,431.23,118.55,37.437,477,2.71E+06,3.09E+06,6.77E+05,6.50E+05,0,1.69E+05,1.46E+05,1.98E+06,1.66E+06,6.68E+05,2.11E+05,3.37E+05,11049,9413,2.66E+05,1953,4438,1375,238.19,27,705,16,1071,661,0,228,448,49,14,176,4082,3733,2894,1380.5,27,325,69,1547,2335,1973,1326,140,36,74,898,122,94,47,0,0,11.801,5.292,15,15.6,8.5764,27.792,33.861,5.5159,6.9481,121.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.35E+05,197.32,0,0,4.544,0,0,0,0,85,83560,0,0,0,0,0,0,-41.37,1,-209,0,-750,-713,-711,129.21,0,0,0,0,140.87,773.5,-2036,0,1.04E+06,8.43E+05,3.32E+05,2303.7,605.24,5796,4275,15689,3500
10/17/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0.08,0,0,8.04,3363.3,11593,291.2,1053.2,0,35.342,11.137,213.69,359.18,68.047,410.75,517.87,112.42,35.533,499.07,2.70E+06,3.09E+06,6.74E+05,6.50E+05,0,1.69E+05,1.45E+05,1.98E+06,1.66E+06,6.68E+05,2.10E+05,3.38E+05,11069,9301,2.65E+05,2727,4248,1234,238.19,27,731,16,954,60,0,543,538,48,19,315,4271,3742,2794,1383.3,27,325,69,1341,2287,2133,1301,121,36,72,854,156,89,47,0,0,11.801,5.292,15,15.6,8.5764,18.528,22.574,9.1932,11.58,58.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.37E+05,197.87,0,0,4.544,0,0,0,0,85,83560,0,0,0,0,0,0,228.63,1,-210,0,-871,-719,-657,-1.71,0,0,0,0,-426.93,889.7,-2031,0,1.05E+06,8.43E+05,3.32E+05,2303.7,605.24,5919,4339,15492,3500
10/18/1996,1,0.93,0.1,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,0.08,0,0,8.04,1498.9,11549,364.99,1053.2,0,92.675,64.036,252.6,359.18,31.618,485.44,448.56,112.42,36.802,481.25,2.70E+06,3.09E+06,6.71E+05,6.50E+05,0,1.69E+05,1.45E+05,1.98E+06,1.66E+06,6.68E+05,2.08E+05,3.39E+05,11085,9194,2.63E+05,2216,4052,1414,238.19,28,710,0,928,685,0,333,466,47,14,172,3703,4457,2596,1380.2,28,325,69,972,2352,1895,1201,115,36,65,766,61,79,47,0,0,11.801,5.292,15,15.6,8.5764,18.528,22.574,9.8061,12.352,83.188,0.2657,0.075625,0.019242,0,0,0.016527,0.024032,0,0,0.036033,0,0,0,0,0,3.6607,1.38E+05,198.3,0,0,4.544,0.11727,0,0,0,85,83560,0,0,0,0,0,0,186.63,1,-199,0,-588,-3142,-615,-154.08,0,0,0,0,-756.83,3557.8,-1959,0,1.05E+06,8.43E+05,3.32E+05,2303.7,605.24,5389,4308,15026,3460
10/19/1996,1,0.93,0.4,0,0,0.68,0.68,0.68,2.14,2.55,3.92,0.1,0.08,0,0,8.04,3076.4,11799,571.58,1053.2,0,196.34,25.058,168.02,47.828,0,316.59,433.16,106.97,35.533,483.79,2.70E+06,3.09E+06,6.68E+05,6.50E+05,0,1.69E+05,1.45E+05,1.98E+06,1.66E+06,6.68E+05,2.08E+05,3.39E+05,11109,9099,2.62E+05,3270,4259,1251,238.19,32,627,0,543,381,0,333,450,50,14,175,3703,4615,2894,1381.3,32,327,69,861,2046,1392,1201,116,36,60,635,109,24,9,0,0,11.801,5.292,15,15.6,8.5764,18.528,22.574,7.3546,9.2641,55.459,0,0.17646,0.019242,0,0,0.016527,0,0,0,0,0,0,0,0,0,3.5509,1.39E+05,198.73,0,0,4.544,0.11258,0,0,0,85,83560,0,0,0,0,0,0,180,1,-200,0,-476,-3057,-685,-189.96,0,0,0,0,-297.3,3793.7,-1971,0,1.06E+06,8.43E+05,3.32E+05,2303.7,605.24,5097,4216,15686,3210
10/20/1996,1,0.93,0.4,0,0,0.68,0.68,0.68,2.14,2.56,3.92,0.1,0.13,0,0,8.04,1009.7,11371,597.16,1053.2,0,92.675,0,103.18,583.31,47.427,267.88,341.71,104.24,36.168,485.49,2.70E+06,3.08E+06,6.66E+05,6.50E+05,0,1.69E+05,1.45E+05,1.98E+06,1.66E+06,6.68E+05,2.05E+05,3.40E+05,11141,9027,2.62E+05,2092,3259,1667,227.46,41,723,13,704,563,56,395,355,53,26,218,3526,4179,2750,1382,41,326,69,533,2226,1012,1125,116,35,61,632,34,65,43,0,0,11.801,5.292,15,15.6,8.5764,24.704,30.099,7.3546,9.2641,62.391,0,0.037813,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.39E+05,199.17,0,0,4.544,0.10808,0,0,0,85,83560,0,0,0,0,0,0,134,1,-202,0,-155,-654,-205,-179,0,0,0,0,431,1257,-1950,0,1.08E+06,8.43E+05,3.32E+05,2303.7,605.24,5053,4180,15572,3170
10/21/1996,1,0.93,0.5,0,0,0.68,0.68,0.68,2.14,2.56,3.92,0.1,0.15,0,0,8.04,3419,10496,366.95,1053.2,0,50.264,47.331,139.27,277.59,68.047,331.2,514.02,104.92,36.168,466.82,2.70E+06,3.08E+06,6.64E+05,6.33E+05,0,1.64E+05,1.45E+05,1.98E+06,1.63E+06,6.45E+05,2.03E+05,3.41E+05,11169,8942,2.61E+05,3010,2777,1692,227.46,43,687,13,989,549,44,232,534,50,12,309,3619,4339,2669,1383,43,325,69,818,2209,998,1125,116,34,53,615,68,75,56,0,0,11.801,5.292,15,15.6,8.5764,16.984,20.693,6.7417,8.4921,97.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.37E+05,199.6,0,0,16.328,0.10376,0,0,0,85,83560,0,0,0,0,0,0,106,1,-199,0,-442,-108,-485,-57.667,0,0,0,0,4,966,-1978,0,1.08E+06,8.43E+05,3.32E+05,2303.7,605.24,5059,4258,15250,3130
10/22/1996,1,0.95,0.7,0,0,0.68,0.68,0.68,2.14,2.56,3.92,0.1,0.15,0,0,8.04,2718,10646,357.12,1053.2,0,21.991,0,134.76,90.967,32.993,362.86,533.27,101.52,34.898,471.06,2.69E+06,3.08E+06,6.60E+05,6.33E+05,0,1.64E+05,1.45E+05,1.98E+06,1.63E+06,6.45E+05,2.02E+05,3.41E+05,10914,8909,2.60E+05,2416,4572,1056,227.46,40,677,1,911,0,53,466,554,33,29,179,3579,4238,2980,1384,40,328,69,851,1088,1005,1150,116,158,43,552,102,70,46,0,0,11.801,5.292,15,15.6,8.5764,20.072,24.455,8.5803,10.808,62.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.40E+05,200,0,0,16.328,0.099605,0,0,0,85,83560,0,0,0,0,0,0,89,0,-201,0,-476,-108,-507,1.708,0,0,0,0,-55,771,-1994,0,1.09E+06,8.43E+05,3.32E+05,2303.7,605.24,4736,4169,15135,2920
10/23/1996,1,0.97,1,0,0,0.68,0.68,0.68,2.14,2.56,3.92,0.1,0.15,0,0,8.04,3290.7,12314,301.04,1053.2,0,32.201,52.899,218.2,88.154,52.238,500.86,454.34,103.56,36.168,492.28,2.69E+06,3.08E+06,6.58E+05,6.33E+05,0,1.64E+05,1.44E+05,1.98E+06,1.63E+06,6.45E+05,2.00E+05,3.42E+05,10462,8871,2.59E+05,2982,4223,1842,227.46,37,768,14,829,1023,0,461,472,48,23,256,3758,4388,2857,1384.8,37,325,69,436,1023,939,1225,117,273,40,545,68,70,59,0,0,11.801,5.292,15,15.6,8.5764,21.616,26.337,6.1288,7.7201,69.323,0,0.037813,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.41E+05,200,0,0,16.328,0.095621,0,0,0,85,83560,0,0,0,0,0,0,84,0,-189,0,-57,-112,-587,-52.042,0,0,0,0,-385.8,836.2,-1945,0,1.10E+06,8.43E+05,3.32E+05,2303.7,605.24,4026,4225,14926,2840
