,HCR,LOP,DEX,FAL,DOR,COT,FRN,CGR,BLU,GPR,FOS,DET,BCL
153,37.04030389403717,92.69149974184593,92.69149974184593,12.493571747389657,13.606020470625651,4.482677824056225,1.0,24.05806466102669,12.109347814090412,22.6,53.96779530196916,76.08225569750562,76.08225569750562
154,35.53784123608705,88.7231230684694,88.7231230684694,13.673662713259734,12.260370094409316,3.254938037849928,1.0,23.03310569322116,11.525764786906333,22.6,50.0339652354096,69.18948253225673,69.18948253225673
155,32.25695339116371,80.95875519554096,80.95875519554096,11.621330598701757,11.363269843599346,3.226385949797911,1.0,20.24293961419172,10.0084489162249,22.6,62.606794663822726,91.52555759941262,91.52555759941262
156,37.346928926270316,93.25032052565228,93.25032052565228,19.651079996918778,11.03931697525084,4.539782000160172,1.0,29.125917335184017,18.76219432400074,22.6,88.67806059513069,124.06991697460413,124.06991697460413
157,51.78896794455885,129.1377435580434,129.1377435580434,32.042035138581845,24.445981834584295,4.996615408981236,1.0,36.18674578008277,24.160337325463725,22.6,69.72882687582772,102.024676218226,102.024676218226
158,45.41116727406711,113.39193319891889,113.39193319891889,21.36990814286491,21.306130956748706,4.625438264314585,1.0,30.00852089079614,16.48622051797945,22.6,60.6527352843544,89.54788428617434,89.54788428617434
159,40.71980428086387,101.83524141281292,101.83524141281292,16.59823597650837,16.04812670894243,4.2828132076984,1.0,25.42467661810694,13.0722598089464,22.6,60.44704482335977,90.39130378740667,90.39130378740667
160,41.85431690013864,104.79116779346847,104.79116779346847,16.367348613623804,16.372079577290762,4.282813207696933,1.0,26.107982596643613,9.95009061350539,22.6,57.51595575415892,80.76468810090864,80.76468810090864
161,37.07096639726242,92.94633624646882,92.94633624646882,14.725482921972182,16.297321223057978,3.768875622773388,1.0,25.111494711273245,9.395686737679945,22.6,56.30752429580385,85.18536962461968,85.18536962461968
162,36.30440381666715,90.86275140764536,90.86275140764536,14.982024436294342,15.898610000474447,3.626115182516579,1.0,26.164924761519803,12.92636405214926,22.6,60.44704482335977,90.79847182248477,90.79847182248477
163,39.37065413902617,98.21632950678399,98.21632950678399,27.42428788081674,26.240182336205443,3.626115182518045,1.0,30.63488470445732,15.406591917684612,22.6,55.17622676032251,77.65276097567407,77.65276097567407
164,35.75247875865135,89.52621734470956,89.52621734470956,21.010750022815817,22.701620235786496,3.226385949799463,1.0,26.734346410298237,13.36405132253844,22.6,50.44534615740387,70.26556948209664,70.26556948209664
165,31.582378320244864,79.19133186779433,79.19133186779433,15.700340676390118,17.14458257104322,2.883760893183277,1.0,24.28583332054317,11.029719213797815,22.6,46.74291785946668,66.31022285563112,66.31022285563112
166,30.44786570097975,76.23540548712774,76.23540548712774,12.87838401886876,13.481423213567792,2.883760893183277,1.0,21.125543169800743,8.899641164573842,22.6,44.223209712258715,58.544946758058614,58.544946758058614
167,27.718902914079802,69.303180173968,69.303180173968,13.006654776028807,11.263592037954023,2.5696879246175564,1.0,18.961740904431444,7.965908321077349,22.6,41.18927541256003,54.90951787343042,54.90951787343042
168,26.00180273355847,65.17620947839693,65.17620947839693,14.87940783056465,8.995921959515178,2.14140660384851,1.0,17.28194704052647,6.886279720782509,22.6,39.338061263591605,52.64101024942818,52.64101024942818
169,23.76343999823831,59.60325847223332,59.60325847223332,11.441751538674795,8.298177319995853,2.14140660384851,1.0,16.285459155158176,6.4194132990365915,22.6,37.5639810374969,51.82667417926093,51.82667417926093
170,22.47561486285249,56.24182382387419,56.24182382387419,6.644425220890316,7.625352131888891,1.8273336352842549,1.42,14.861905033205188,6.244338390881161,22.6,37.35829057649899,49.79083400387593,49.79083400387593
171,22.322302346739367,55.864337306373095,55.864337306373095,6.772695978050017,6.254782304262432,1.8273336352842549,1.0609328454270588,14.434838796620843,6.040084331365716,22.6,34.81287112166812,44.933901014012044,44.933901014012044
172,21.003814708128296,52.444218404616606,52.444218404616606,5.028213680673874,5.482279310507907,1.6845731950289122,1.785597072562354,13.97930147758961,5.310605547384152,22.6,35.04427289028894,49.587249986334804,49.587249986334804
