Year,Month,Day,Hour,reserves
2010,1,4,4,617.88
2010,1,4,5,672.72
2010,1,4,6,792.82
2010,1,4,7,850.58
2010,1,4,8,875.12
2010,1,4,9,889.06
2010,1,4,10,897.16
2010,1,4,11,896.02
2010,1,4,12,886.8
2010,1,4,13,885.12
2010,1,4,14,872.76
2010,1,4,15,867.32
2010,1,4,16,883.5
2010,1,4,17,971.32
2010,1,4,18,989.9
2010,1,4,19,966.98
2010,1,4,20,935.56
2010,1,4,21,877.98
2010,1,4,22,778.66
2010,1,4,23,708.32
2010,1,5,0,658.54
2010,1,5,1,632.28
2010,1,5,2,618.88
2010,1,5,3,618.16
2010,1,5,4,636.52
2010,1,5,5,689.14
2010,1,5,6,803.24
2010,1,5,7,856.98
2010,1,5,8,876.38
2010,1,5,9,886.12
2010,1,5,10,893.38
2010,1,5,11,894.48
2010,1,5,12,888.68
2010,1,5,13,888.02
2010,1,5,14,879.7
2010,1,5,15,872.42
2010,1,5,16,880.14
2010,1,5,17,967.82
2010,1,5,18,983.86
2010,1,5,19,962.86
2010,1,5,20,932.58
2010,1,5,21,877.04
2010,1,5,22,775.96
2010,1,5,23,710.4
2010,1,6,0,667.02
2010,1,6,1,639.42
2010,1,6,2,626
2010,1,6,3,624.76
2010,1,6,4,642.74
2010,1,6,5,695.76
2010,1,6,6,817.92
2010,1,6,7,872.4
2010,1,6,8,890.36
2010,1,6,9,901.56
2010,1,6,10,907.72
2010,1,6,11,909.36
2010,1,6,12,898.68
2010,1,6,13,897.98
2010,1,6,14,890.44
2010,1,6,15,882.38
2010,1,6,16,885.6
2010,1,6,17,971.1
2010,1,6,18,984.84
2010,1,6,19,961.94
2010,1,6,20,931.5
2010,1,6,21,875.56
2010,1,6,22,778.58
2010,1,6,23,714.52
2010,1,7,0,671.28
2010,1,7,1,643.46
2010,1,7,2,629.38
2010,1,7,3,627.32
2010,1,7,4,644.1
2010,1,7,5,695.82
2010,1,7,6,809.84
2010,1,7,7,865.58
2010,1,7,8,887.52
2010,1,7,9,893.22
2010,1,7,10,895.7
2010,1,7,11,894.7
2010,1,7,12,887.4
2010,1,7,13,882.86
2010,1,7,14,872.22
2010,1,7,15,864.42
2010,1,7,16,875.98
2010,1,7,17,963.36
2010,1,7,18,979.2
2010,1,7,19,958.06
2010,1,7,20,928.98
2010,1,7,21,875.06
2010,1,7,22,779.54
2010,1,7,23,720.1
2010,1,8,0,673.06
2010,1,8,1,644.82
2010,1,8,2,630.24
2010,1,8,3,627.94
2010,1,8,4,643.82
2010,1,8,5,693.32
2010,1,8,6,808.46
2010,1,8,7,864.36
2010,1,8,8,888.88
2010,1,8,9,901.5
2010,1,8,10,897.12
2010,1,8,11,893.64
2010,1,8,12,884.26
2010,1,8,13,877.1
2010,1,8,14,862.72
2010,1,8,15,851.86
2010,1,8,16,861.14
2010,1,8,17,945.8
2010,1,8,18,957.72
2010,1,8,19,931.64
2010,1,8,20,901.12
2010,1,8,21,855.62
2010,1,8,22,774.4
2010,1,8,23,716.5
2010,1,9,0,666.44
2010,1,9,1,636.38
2010,1,9,2,618.86
2010,1,9,3,612.22
2010,1,9,4,616.7
2010,1,9,5,633.66
2010,1,9,6,687.64
2010,1,9,7,715.5
2010,1,9,8,751.44
2010,1,9,9,779.34
2010,1,9,10,794.82
2010,1,9,11,796.82
2010,1,9,12,790.88
2010,1,9,13,780.48
2010,1,9,14,770.22
2010,1,9,15,766.72
2010,1,9,16,785.74
2010,1,9,17,871.46
2010,1,9,18,895.6
2010,1,9,19,877.86
2010,1,9,20,852.08
2010,1,9,21,812.38
2010,1,9,22,741.04
2010,1,9,23,696.32
2010,1,10,0,645.2
2010,1,10,1,615.82
2010,1,10,2,598.76
2010,1,10,3,592.06
2010,1,10,4,594.74
2010,1,10,5,608.44
2010,1,10,6,648.12
2010,1,10,7,668.4
2010,1,10,8,696.98
2010,1,10,9,722.18
2010,1,10,10,738.04
2010,1,10,11,745.92
2010,1,10,12,746.68
2010,1,10,13,743
2010,1,10,14,737.78
2010,1,10,15,738.08
2010,1,10,16,754.46
2010,1,10,17,858.58
2010,1,10,18,890.96
2010,1,10,19,880.86
2010,1,10,20,856.92
2010,1,10,21,809.18
2010,1,10,22,726.88
2010,1,10,23,676.52
2010,1,11,0,627.34
2010,1,11,1,604.02
2010,1,11,2,592.82
2010,1,11,3,593.72
2010,1,11,4,612.5
2010,1,11,5,659.36
2010,1,11,6,768.4
2010,1,11,7,829.76
2010,1,11,8,856.6
2010,1,11,9,875.8
2010,1,11,10,890.76
2010,1,11,11,896.6
2010,1,11,12,895.34
2010,1,11,13,894.58
2010,1,11,14,885.48
2010,1,11,15,877.6
2010,1,11,16,886.6
2010,1,11,17,959.84
2010,1,11,18,977.98
2010,1,11,19,956.78
2010,1,11,20,922.22
2010,1,11,21,861.68
2010,1,11,22,761.5
2010,1,11,23,700.54
2010,1,12,0,657.86
2010,1,12,1,629.9
2010,1,12,2,615.32
2010,1,12,3,612.74
2010,1,12,4,629.02
2010,1,12,5,677.32
2010,1,12,6,782.48
2010,1,12,7,835.16
2010,1,12,8,859.5
2010,1,12,9,877.18
2010,1,12,10,892.02
2010,1,12,11,897.7
2010,1,12,12,895.48
2010,1,12,13,895.02
2010,1,12,14,884.1
2010,1,12,15,875.24
2010,1,12,16,880.44
2010,1,12,17,958.64
2010,1,12,18,975.2
2010,1,12,19,954.28
2010,1,12,20,920.76
2010,1,12,21,863.28
2010,1,12,22,764.3
2010,1,12,23,702.9
2010,1,13,0,658.62
2010,1,13,1,630.3
2010,1,13,2,615.38
2010,1,13,3,612.42
2010,1,13,4,628.12
2010,1,13,5,676.18
2010,1,13,6,782.54
2010,1,13,7,835.78
2010,1,13,8,859.48
2010,1,13,9,876.28
2010,1,13,10,888.62
2010,1,13,11,891.06
2010,1,13,12,885.38
2010,1,13,13,879.76
2010,1,13,14,869.82
2010,1,13,15,860.88
2010,1,13,16,867.04
2010,1,13,17,951.76
2010,1,13,18,976.76
2010,1,13,19,959.24
2010,1,13,20,929.54
2010,1,13,21,873.68
2010,1,13,22,774.82
2010,1,13,23,706.48
2010,1,14,0,657.66
2010,1,14,1,630.18
2010,1,14,2,616.32
2010,1,14,3,615.18
2010,1,14,4,632.36
2010,1,14,5,683.98
2010,1,14,6,797.58
2010,1,14,7,852.74
2010,1,14,8,872.54
2010,1,14,9,884.2
2010,1,14,10,892.1
2010,1,14,11,891.5
2010,1,14,12,884.92
2010,1,14,13,881.44
2010,1,14,14,869.38
2010,1,14,15,853.9
2010,1,14,16,864.72
2010,1,14,17,948.16
2010,1,14,18,974.78
2010,1,14,19,959.18
2010,1,14,20,930.62
2010,1,14,21,875.48
2010,1,14,22,778.4
2010,1,14,23,711.28
2010,1,15,0,667.82
2010,1,15,1,641.38
2010,1,15,2,628.1
2010,1,15,3,625.6
2010,1,15,4,642.76
2010,1,15,5,692.72
2010,1,15,6,807.74
2010,1,15,7,864.54
2010,1,15,8,884.1
2010,1,15,9,896.2
2010,1,15,10,896.08
2010,1,15,11,886.2
2010,1,15,12,874.56
2010,1,15,13,869.1
2010,1,15,14,856.56
2010,1,15,15,846.74
2010,1,15,16,855.82
2010,1,15,17,934.32
2010,1,15,18,955.78
2010,1,15,19,935.22
2010,1,15,20,904.56
2010,1,15,21,857.72
2010,1,15,22,775.22
2010,1,15,23,717.88
2010,1,16,0,668.3
2010,1,16,1,638.3
2010,1,16,2,621.34
2010,1,16,3,614.04
2010,1,16,4,618.72
2010,1,16,5,639.16
2010,1,16,6,699.94
2010,1,16,7,725.52
2010,1,16,8,760.54
2010,1,16,9,786.22
2010,1,16,10,788.7
2010,1,16,11,781.08
2010,1,16,12,774.04
2010,1,16,13,762.5
2010,1,16,14,748.74
2010,1,16,15,744.86
2010,1,16,16,763.58
2010,1,16,17,853.88
2010,1,16,18,884.44
2010,1,16,19,869.16
2010,1,16,20,842.52
2010,1,16,21,802.82
2010,1,16,22,733.2
2010,1,16,23,688.04
2010,1,17,0,650.02
2010,1,17,1,621.6
2010,1,17,2,604.82
2010,1,17,3,596.66
2010,1,17,4,597.64
2010,1,17,5,610.42
2010,1,17,6,654.98
2010,1,17,7,671.12
2010,1,17,8,705.76
2010,1,17,9,725
2010,1,17,10,732.54
2010,1,17,11,735.58
2010,1,17,12,734.24
2010,1,17,13,729.1
2010,1,17,14,724.4
2010,1,17,15,728.08
2010,1,17,16,755.4
2010,1,17,17,854.66
2010,1,17,18,890.34
2010,1,17,19,877.62
2010,1,17,20,851.22
2010,1,17,21,802.92
2010,1,17,22,721.12
2010,1,17,23,670.56
2010,1,18,0,634.32
2010,1,18,1,608.24
2010,1,18,2,596.3
2010,1,18,3,594.78
2010,1,18,4,610.52
2010,1,18,5,652.3
2010,1,18,6,742.64
2010,1,18,7,792.66
2010,1,18,8,840.56
2010,1,18,9,872.82
2010,1,18,10,879.48
2010,1,18,11,873.36
2010,1,18,12,866.52
2010,1,18,13,858.72
2010,1,18,14,846.54
2010,1,18,15,841.48
2010,1,18,16,857.9
2010,1,18,17,944.32
2010,1,18,18,966
2010,1,18,19,947.48
2010,1,18,20,913.34
2010,1,18,21,854.46
2010,1,18,22,758.44
2010,1,18,23,696.48
2010,1,19,0,663.92
2010,1,19,1,635.32
2010,1,19,2,620.94
2010,1,19,3,617.92
2010,1,19,4,634.74
2010,1,19,5,684.36
2010,1,19,6,803.44
2010,1,19,7,862.98
2010,1,19,8,884.64
2010,1,19,9,893.6
2010,1,19,10,898.66
2010,1,19,11,893.62
2010,1,19,12,888.52
2010,1,19,13,884.7
2010,1,19,14,875.54
2010,1,19,15,870.44
2010,1,19,16,886.54
2010,1,19,17,964.8
2010,1,19,18,988.94
2010,1,19,19,972.98
2010,1,19,20,940.54
2010,1,19,21,882.4
2010,1,19,22,778.66
2010,1,19,23,710.38
2010,1,20,0,661.6
2010,1,20,1,633.18
2010,1,20,2,619.7
2010,1,20,3,617.02
2010,1,20,4,633.6
2010,1,20,5,683.96
2010,1,20,6,799.5
2010,1,20,7,859.36
2010,1,20,8,879
2010,1,20,9,893.2
2010,1,20,10,896.86
2010,1,20,11,896.7
2010,1,20,12,892.26
2010,1,20,13,888.72
2010,1,20,14,880.32
2010,1,20,15,875.32
2010,1,20,16,889.92
2010,1,20,17,961.96
2010,1,20,18,986.44
2010,1,20,19,969.58
2010,1,20,20,937.44
2010,1,20,21,879.94
2010,1,20,22,780.4
2010,1,20,23,712.8
2010,1,21,0,665.46
2010,1,21,1,636.64
2010,1,21,2,621.9
2010,1,21,3,618.7
2010,1,21,4,634.98
2010,1,21,5,683.88
2010,1,21,6,801.7
2010,1,21,7,872.82
2010,1,21,8,908.74
2010,1,21,9,931
2010,1,21,10,944.74
2010,1,21,11,953.5
2010,1,21,12,958.56
2010,1,21,13,949.38
2010,1,21,14,923.6
2010,1,21,15,915.76
2010,1,21,16,916.46
2010,1,21,17,987.42
2010,1,21,18,1015.24
2010,1,21,19,991.88
2010,1,21,20,957.5
2010,1,21,21,884.18
2010,1,21,22,779.06
2010,1,21,23,717.16
2010,1,22,0,677.16
2010,1,22,1,649.66
2010,1,22,2,634.9
2010,1,22,3,631.7
2010,1,22,4,648.36
2010,1,22,5,691.44
2010,1,22,6,805.28
2010,1,22,7,868.6
2010,1,22,8,891.28
2010,1,22,9,906.1
2010,1,22,10,914.94
2010,1,22,11,911.54
2010,1,22,12,901.46
2010,1,22,13,891.92
2010,1,22,14,876.38
2010,1,22,15,869.62
2010,1,22,16,883.26
2010,1,22,17,955.64
2010,1,22,18,979.76
2010,1,22,19,959.16
2010,1,22,20,927.38
2010,1,22,21,879.52
2010,1,22,22,791.56
2010,1,22,23,731.46
2010,1,23,0,690.28
2010,1,23,1,659.38
2010,1,23,2,642.96
2010,1,23,3,636.36
2010,1,23,4,642.36
2010,1,23,5,664.74
2010,1,23,6,733.06
2010,1,23,7,755.38
2010,1,23,8,785.4
2010,1,23,9,807.96
2010,1,23,10,815.2
2010,1,23,11,809.5
2010,1,23,12,797.7
2010,1,23,13,783.32
2010,1,23,14,771.1
2010,1,23,15,765.42
2010,1,23,16,787.72
2010,1,23,17,873.36
2010,1,23,18,912.74
2010,1,23,19,901.54
2010,1,23,20,877.76
2010,1,23,21,838.56
2010,1,23,22,766.12
2010,1,23,23,715.32
2010,1,24,0,671.44
2010,1,24,1,640.66
2010,1,24,2,622.22
2010,1,24,3,616.2
2010,1,24,4,619.34
2010,1,24,5,635.64
2010,1,24,6,687.62
2010,1,24,7,703.24
2010,1,24,8,729.8
2010,1,24,9,749.7
2010,1,24,10,758.58
2010,1,24,11,760.08
2010,1,24,12,755.9
2010,1,24,13,749.32
2010,1,24,14,743.22
2010,1,24,15,743.7
2010,1,24,16,769.02
2010,1,24,17,862.88
2010,1,24,18,908.12
2010,1,24,19,902.68
2010,1,24,20,881
2010,1,24,21,833.86
2010,1,24,22,749.76
2010,1,24,23,691.14
2010,1,25,0,644.36
2010,1,25,1,619.66
2010,1,25,2,610.6
2010,1,25,3,612.76
2010,1,25,4,633.1
2010,1,25,5,689.18
2010,1,25,6,816.18
2010,1,25,7,872.92
2010,1,25,8,892.24
2010,1,25,9,907.08
2010,1,25,10,916.26
2010,1,25,11,916.8
2010,1,25,12,911.12
2010,1,25,13,906.6
2010,1,25,14,893.92
2010,1,25,15,882.76
2010,1,25,16,890.16
2010,1,25,17,956.62
2010,1,25,18,989.76
2010,1,25,19,974.52
2010,1,25,20,942.88
2010,1,25,21,881.96
2010,1,25,22,782.24
2010,1,25,23,714.46
2010,1,26,0,672.02
2010,1,26,1,647.12
2010,1,26,2,633.5
2010,1,26,3,631.1
2010,1,26,4,648.32
2010,1,26,5,698.46
2010,1,26,6,810.36
2010,1,26,7,869.9
2010,1,26,8,889.5
2010,1,26,9,904.04
2010,1,26,10,912.4
2010,1,26,11,909.1
2010,1,26,12,903.62
2010,1,26,13,898.2
2010,1,26,14,886.38
2010,1,26,15,879.88
2010,1,26,16,883.82
2010,1,26,17,952.6
2010,1,26,18,986.42
2010,1,26,19,971.78
2010,1,26,20,941.32
2010,1,26,21,884.18
2010,1,26,22,782.92
2010,1,26,23,716.26
2010,1,27,0,670.02
2010,1,27,1,644.46
2010,1,27,2,631.92
2010,1,27,3,629.88
2010,1,27,4,647.48
2010,1,27,5,698.16
2010,1,27,6,808.22
2010,1,27,7,865.92
2010,1,27,8,879.52
2010,1,27,9,889.76
2010,1,27,10,895.3
2010,1,27,11,893.32
2010,1,27,12,887.24
2010,1,27,13,882.6
2010,1,27,14,871.46
2010,1,27,15,863.16
2010,1,27,16,864.1
2010,1,27,17,933.48
2010,1,27,18,972.66
2010,1,27,19,960.08
2010,1,27,20,931.2
2010,1,27,21,874.18
2010,1,27,22,775.68
2010,1,27,23,710.88
2010,1,28,0,672.6
2010,1,28,1,647.84
2010,1,28,2,635.46
2010,1,28,3,633.74
2010,1,28,4,651.36
2010,1,28,5,701.56
2010,1,28,6,812.32
2010,1,28,7,869.24
2010,1,28,8,884.9
2010,1,28,9,894.72
2010,1,28,10,900.5
2010,1,28,11,898.68
2010,1,28,12,893.48
2010,1,28,13,888.8
2010,1,28,14,877.44
2010,1,28,15,864.36
2010,1,28,16,869.48
2010,1,28,17,934.22
2010,1,28,18,972.52
2010,1,28,19,959.64
2010,1,28,20,930.44
2010,1,28,21,876.84
2010,1,28,22,779.82
2010,1,28,23,714.02
2010,1,29,0,673.1
2010,1,29,1,647.82
2010,1,29,2,634.82
2010,1,29,3,632.66
2010,1,29,4,648.96
2010,1,29,5,698.1
2010,1,29,6,803.94
2010,1,29,7,860.66
2010,1,29,8,879.1
2010,1,29,9,890.18
2010,1,29,10,896.68
2010,1,29,11,894.44
2010,1,29,12,886.88
2010,1,29,13,881.54
2010,1,29,14,868.64
2010,1,29,15,856.54
2010,1,29,16,857.08
2010,1,29,17,918.94
2010,1,29,18,949.12
2010,1,29,19,928.68
2010,1,29,20,897.46
2010,1,29,21,850.36
2010,1,29,22,767.8
2010,1,29,23,710.64
2010,1,30,0,674.24
2010,1,30,1,644.88
2010,1,30,2,627.94
2010,1,30,3,620.4
2010,1,30,4,624.68
2010,1,30,5,642.5
2010,1,30,6,690.76
2010,1,30,7,715.64
2010,1,30,8,751.42
2010,1,30,9,776.34
2010,1,30,10,786.76
2010,1,30,11,784.04
2010,1,30,12,775.94
2010,1,30,13,763.74
2010,1,30,14,752.1
2010,1,30,15,748.94
2010,1,30,16,760.2
2010,1,30,17,838.84
2010,1,30,18,885.08
2010,1,30,19,870.52
2010,1,30,20,846.3
2010,1,30,21,807.26
2010,1,30,22,737.64
2010,1,30,23,690.76
2010,1,31,0,655.78
2010,1,31,1,628.5
2010,1,31,2,613.74
2010,1,31,3,607.22
2010,1,31,4,609.88
2010,1,31,5,623.38
2010,1,31,6,661.22
2010,1,31,7,678.32
2010,1,31,8,706.42
2010,1,31,9,725.92
2010,1,31,10,734.82
2010,1,31,11,736.52
2010,1,31,12,734.54
2010,1,31,13,728.66
2010,1,31,14,718.44
2010,1,31,15,720.5
2010,1,31,16,742.02
2010,1,31,17,828.04
2010,1,31,18,884
2010,1,31,19,880.18
2010,1,31,20,858.82
2010,1,31,21,814.78
2010,1,31,22,724.38
2010,1,31,23,671.6
2010,2,1,0,632.74
2010,2,1,1,611.98
2010,2,1,2,602.42
2010,2,1,3,604.54
2010,2,1,4,625.62
2010,2,1,5,679.8
2010,2,1,6,792.68
2010,2,1,7,852.6
2010,2,1,8,873.64
2010,2,1,9,884.42
2010,2,1,10,889.76
2010,2,1,11,887.64
2010,2,1,12,881.28
2010,2,1,13,875.48
2010,2,1,14,864.24
2010,2,1,15,856.68
2010,2,1,16,857.4
2010,2,1,17,923.04
2010,2,1,18,971.64
2010,2,1,19,953.9
2010,2,1,20,923.52
2010,2,1,21,867.02
2010,2,1,22,768.32
2010,2,1,23,703.1
2010,2,2,0,661.48
2010,2,2,1,635.52
2010,2,2,2,622.16
2010,2,2,3,620.68
2010,2,2,4,638.72
2010,2,2,5,691.74
2010,2,2,6,805.42
2010,2,2,7,860.98
2010,2,2,8,880.3
2010,2,2,9,889.76
2010,2,2,10,894.78
2010,2,2,11,893.22
2010,2,2,12,888
2010,2,2,13,881.4
2010,2,2,14,870.26
2010,2,2,15,859.7
2010,2,2,16,856.22
2010,2,2,17,915.66
2010,2,2,18,965.48
2010,2,2,19,950.22
2010,2,2,20,921.2
2010,2,2,21,867.04
2010,2,2,22,765.24
2010,2,2,23,704.52
2010,2,3,0,661.32
2010,2,3,1,635.7
2010,2,3,2,622.48
2010,2,3,3,620.6
2010,2,3,4,638.04
2010,2,3,5,690.62
2010,2,3,6,803.2
2010,2,3,7,858.54
2010,2,3,8,876.84
2010,2,3,9,886.2
2010,2,3,10,890.92
2010,2,3,11,888.2
2010,2,3,12,884.42
2010,2,3,13,878.74
2010,2,3,14,865.42
2010,2,3,15,852.4
2010,2,3,16,853.36
2010,2,3,17,912.9
2010,2,3,18,964.82
2010,2,3,19,950.34
2010,2,3,20,922.22
2010,2,3,21,867.88
2010,2,3,22,765.7
2010,2,3,23,707.6
2010,2,4,0,663.08
2010,2,4,1,637.9
2010,2,4,2,624.34
2010,2,4,3,622.14
2010,2,4,4,640.1
2010,2,4,5,693.08
2010,2,4,6,805.94
2010,2,4,7,860.4
2010,2,4,8,879.12
2010,2,4,9,889.02
2010,2,4,10,895.22
2010,2,4,11,894.04
2010,2,4,12,887.8
2010,2,4,13,882.64
2010,2,4,14,870.4
2010,2,4,15,857.66
2010,2,4,16,863.42
2010,2,4,17,917.4
2010,2,4,18,963.58
2010,2,4,19,947.2
2010,2,4,20,917.48
2010,2,4,21,863.1
2010,2,4,22,768.08
2010,2,4,23,705.46
2010,2,5,0,664.62
2010,2,5,1,636.02
2010,2,5,2,621.38
2010,2,5,3,619.32
2010,2,5,4,634.28
2010,2,5,5,679.8
2010,2,5,6,790.3
2010,2,5,7,848.5
2010,2,5,8,871.12
2010,2,5,9,884.86
2010,2,5,10,892.84
2010,2,5,11,890.72
2010,2,5,12,883.42
2010,2,5,13,876.16
2010,2,5,14,863.92
2010,2,5,15,852.92
2010,2,5,16,850.08
2010,2,5,17,899.4
2010,2,5,18,940
2010,2,5,19,917.7
2010,2,5,20,887.06
2010,2,5,21,841.66
2010,2,5,22,759.02
2010,2,5,23,705.52
2010,2,6,0,658.9
2010,2,6,1,627.46
2010,2,6,2,609.16
2010,2,6,3,600.9
2010,2,6,4,603.74
2010,2,6,5,614.5
2010,2,6,6,676.1
2010,2,6,7,701.66
2010,2,6,8,738.06
2010,2,6,9,766.76
2010,2,6,10,778.68
2010,2,6,11,776.88
2010,2,6,12,768.86
2010,2,6,13,754.7
2010,2,6,14,743.08
2010,2,6,15,736.46
2010,2,6,16,748.72
2010,2,6,17,816.68
2010,2,6,18,875.18
2010,2,6,19,860.64
2010,2,6,20,836.04
2010,2,6,21,798.96
2010,2,6,22,720.82
2010,2,6,23,679.86
2010,2,7,0,641.02
2010,2,7,1,612.66
2010,2,7,2,595.96
2010,2,7,3,588.36
2010,2,7,4,588.92
2010,2,7,5,596.1
2010,2,7,6,643.66
2010,2,7,7,660.98
2010,2,7,8,695.7
2010,2,7,9,719.22
2010,2,7,10,728.02
2010,2,7,11,730.1
2010,2,7,12,727
2010,2,7,13,718.54
2010,2,7,14,712.34
2010,2,7,15,713.9
2010,2,7,16,729.1
2010,2,7,17,809.32
2010,2,7,18,878.34
2010,2,7,19,878.32
2010,2,7,20,863.64
2010,2,7,21,817.74
2010,2,7,22,728.6
2010,2,7,23,674.82
2010,2,8,0,631.22
2010,2,8,1,609.02
2010,2,8,2,601.18
2010,2,8,3,603.02
2010,2,8,4,623.82
2010,2,8,5,671.6
2010,2,8,6,799.1
2010,2,8,7,857.9
2010,2,8,8,873.34
2010,2,8,9,882.28
2010,2,8,10,884.84
2010,2,8,11,879.3
2010,2,8,12,870.14
2010,2,8,13,864.32
2010,2,8,14,852.96
2010,2,8,15,844.84
2010,2,8,16,851.62
2010,2,8,17,920.08
2010,2,8,18,975.54
2010,2,8,19,962.94
2010,2,8,20,933.18
2010,2,8,21,873.7
2010,2,8,22,764.52
2010,2,8,23,705.1
2010,2,9,0,665.4
2010,2,9,1,642.12
2010,2,9,2,630.02
2010,2,9,3,628.48
2010,2,9,4,647.3
2010,2,9,5,699.62
2010,2,9,6,811.08
2010,2,9,7,868.52
2010,2,9,8,886.64
2010,2,9,9,895
2010,2,9,10,898.94
2010,2,9,11,893.5
2010,2,9,12,882.88
2010,2,9,13,876.4
2010,2,9,14,863.84
2010,2,9,15,856.64
2010,2,9,16,860.44
2010,2,9,17,923.52
2010,2,9,18,978.7
2010,2,9,19,967.22
2010,2,9,20,938.72
2010,2,9,21,881.7
2010,2,9,22,770.54
2010,2,9,23,705.6
2010,2,10,0,654.66
2010,2,10,1,628.86
2010,2,10,2,617
2010,2,10,3,615.74
2010,2,10,4,634.78
2010,2,10,5,689.66
2010,2,10,6,815.74
2010,2,10,7,867
2010,2,10,8,882.48
2010,2,10,9,887.8
2010,2,10,10,888.9
2010,2,10,11,880.96
2010,2,10,12,870.28
2010,2,10,13,864.4
2010,2,10,14,853.8
2010,2,10,15,842.26
2010,2,10,16,848.24
2010,2,10,17,909.74
2010,2,10,18,968.26
2010,2,10,19,958.38
2010,2,10,20,932.28
2010,2,10,21,876.5
2010,2,10,22,770.14
2010,2,10,23,703.66
2010,2,11,0,660.52
2010,2,11,1,635.7
2010,2,11,2,623.76
2010,2,11,3,622.1
2010,2,11,4,640.52
2010,2,11,5,695.38
2010,2,11,6,820.5
2010,2,11,7,873.36
2010,2,11,8,883.78
2010,2,11,9,884.28
2010,2,11,10,884.76
2010,2,11,11,877.52
2010,2,11,12,867.62
2010,2,11,13,861.78
2010,2,11,14,851.28
2010,2,11,15,842.7
2010,2,11,16,846.52
2010,2,11,17,903.84
2010,2,11,18,962.4
2010,2,11,19,951.9
2010,2,11,20,926.6
2010,2,11,21,872.5
2010,2,11,22,766.7
2010,2,11,23,701.1
2010,2,12,0,653.16
2010,2,12,1,627.4
2010,2,12,2,614.8
2010,2,12,3,612.38
2010,2,12,4,630.72
2010,2,12,5,682.62
2010,2,12,6,801.72
2010,2,12,7,854.56
2010,2,12,8,870.18
2010,2,12,9,875.14
2010,2,12,10,878.5
2010,2,12,11,869.88
2010,2,12,12,859.24
2010,2,12,13,850.54
2010,2,12,14,838.92
2010,2,12,15,827.9
2010,2,12,16,829.34
2010,2,12,17,879.58
2010,2,12,18,930.28
2010,2,12,19,912.78
2010,2,12,20,886.18
2010,2,12,21,841.66
2010,2,12,22,753.78
2010,2,12,23,692.32
2010,2,13,0,649.1
2010,2,13,1,620.18
2010,2,13,2,603.84
2010,2,13,3,597.16
2010,2,13,4,602.66
2010,2,13,5,623.82
2010,2,13,6,680.62
2010,2,13,7,702.28
2010,2,13,8,736.78
2010,2,13,9,758.58
2010,2,13,10,768.8
2010,2,13,11,763.3
2010,2,13,12,753.66
2010,2,13,13,740.6
2010,2,13,14,730.12
2010,2,13,15,723.76
2010,2,13,16,732.46
2010,2,13,17,791.9
2010,2,13,18,858.46
2010,2,13,19,848.84
2010,2,13,20,827.38
2010,2,13,21,790
2010,2,13,22,715.24
2010,2,13,23,665.74
2010,2,14,0,627.5
2010,2,14,1,600.48
2010,2,14,2,584.18
2010,2,14,3,576.26
2010,2,14,4,578.66
2010,2,14,5,587.66
2010,2,14,6,615.2
2010,2,14,7,623.6
2010,2,14,8,663.12
2010,2,14,9,690.86
2010,2,14,10,707.32
2010,2,14,11,713.94
2010,2,14,12,713.96
2010,2,14,13,708.24
2010,2,14,14,703.94
2010,2,14,15,701.96
2010,2,14,16,712.88
2010,2,14,17,775.22
2010,2,14,18,847.58
2010,2,14,19,845.1
