,Generator,Time,Value,Zones
288,GRIMES_WAY_3,1,0.0,PNW
289,GRIMES_WAY_3,2,0.0,PNW
290,GRIMES_WAY_3,3,0.0,PNW
291,GRIMES_WAY_3,4,0.0,PNW
292,GRIMES_WAY_3,5,0.0,PNW
293,GRIMES_WAY_3,6,0.0,PNW
294,GRIMES_WAY_3,7,0.0,PNW
295,GRIMES_WAY_3,8,1.8,PNW
296,GRIMES_WAY_3,9,0.0,PNW
297,GRIMES_WAY_3,10,0.0,PNW
298,GRIMES_WAY_3,11,1.8,PNW
299,GRIMES_WAY_3,12,0.0,PNW
300,GRIMES_WAY_3,13,0.0,PNW
301,GRIMES_WAY_3,14,0.0,PNW
302,GRIMES_WAY_3,15,0.0,PNW
303,GRIMES_WAY_3,16,0.0,PNW
304,GRIMES_WAY_3,17,0.0,PNW
305,GRIMES_WAY_3,18,0.0,PNW
306,GRIMES_WAY_3,19,0.0,PNW
307,GRIMES_WAY_3,20,0.0,PNW
308,GRIMES_WAY_3,21,0.0,PNW
309,GRIMES_WAY_3,22,0.0,PNW
310,GRIMES_WAY_3,23,0.0,PNW
311,GRIMES_WAY_3,24,0.0,PNW
312,PORT_WESTWARD_1_GEN_2,1,0.0,PNW
313,PORT_WESTWARD_1_GEN_2,2,0.0,PNW
314,PORT_WESTWARD_1_GEN_2,3,0.0,PNW
315,PORT_WESTWARD_1_GEN_2,4,0.0,PNW
316,PORT_WESTWARD_1_GEN_2,5,0.0,PNW
317,PORT_WESTWARD_1_GEN_2,6,0.0,PNW
318,PORT_WESTWARD_1_GEN_2,7,0.0,PNW
319,PORT_WESTWARD_1_GEN_2,8,0.0,PNW
320,PORT_WESTWARD_1_GEN_2,9,0.0,PNW
321,PORT_WESTWARD_1_GEN_2,10,0.0,PNW
322,PORT_WESTWARD_1_GEN_2,11,0.0,PNW
323,PORT_WESTWARD_1_GEN_2,12,0.0,PNW
324,PORT_WESTWARD_1_GEN_2,13,0.0,PNW
325,PORT_WESTWARD_1_GEN_2,14,0.0,PNW
326,PORT_WESTWARD_1_GEN_2,15,0.0,PNW
327,PORT_WESTWARD_1_GEN_2,16,0.0,PNW
328,PORT_WESTWARD_1_GEN_2,17,0.0,PNW
329,PORT_WESTWARD_1_GEN_2,18,0.0,PNW
330,PORT_WESTWARD_1_GEN_2,19,0.0,PNW
331,PORT_WESTWARD_1_GEN_2,20,0.0,PNW
332,PORT_WESTWARD_1_GEN_2,21,0.0,PNW
333,PORT_WESTWARD_1_GEN_2,22,0.0,PNW
334,PORT_WESTWARD_1_GEN_2,23,0.0,PNW
335,PORT_WESTWARD_1_GEN_2,24,0.0,PNW
336,BOULDER_PARK_4,1,4.1,PNW
337,BOULDER_PARK_4,2,4.1,PNW
338,BOULDER_PARK_4,3,0.0,PNW
339,BOULDER_PARK_4,4,0.0,PNW
340,BOULDER_PARK_4,5,0.0,PNW
341,BOULDER_PARK_4,6,0.0,PNW
342,BOULDER_PARK_4,7,0.0,PNW
343,BOULDER_PARK_4,8,4.1,PNW
344,BOULDER_PARK_4,9,0.0,PNW
345,BOULDER_PARK_4,10,0.0,PNW
346,BOULDER_PARK_4,11,0.0,PNW
347,BOULDER_PARK_4,12,0.0,PNW
348,BOULDER_PARK_4,13,0.0,PNW
349,BOULDER_PARK_4,14,0.0,PNW
350,BOULDER_PARK_4,15,0.0,PNW
351,BOULDER_PARK_4,16,0.0,PNW
352,BOULDER_PARK_4,17,4.1,PNW
353,BOULDER_PARK_4,18,0.0,PNW
354,BOULDER_PARK_4,19,0.0,PNW
355,BOULDER_PARK_4,20,0.0,PNW
356,BOULDER_PARK_4,21,0.0,PNW
357,BOULDER_PARK_4,22,0.0,PNW
358,BOULDER_PARK_4,23,0.0,PNW
359,BOULDER_PARK_4,24,0.0,PNW
360,BOARDMAN_1,1,0.0,PNW
361,BOARDMAN_1,2,0.0,PNW
362,BOARDMAN_1,3,0.0,PNW
363,BOARDMAN_1,4,0.0,PNW
364,BOARDMAN_1,5,0.0,PNW
365,BOARDMAN_1,6,0.0,PNW
366,BOARDMAN_1,7,0.0,PNW
367,BOARDMAN_1,8,0.0,PNW
368,BOARDMAN_1,9,0.0,PNW
369,BOARDMAN_1,10,0.0,PNW
370,BOARDMAN_1,11,0.0,PNW
371,BOARDMAN_1,12,0.0,PNW
372,BOARDMAN_1,13,0.0,PNW
373,BOARDMAN_1,14,0.0,PNW
374,BOARDMAN_1,15,0.0,PNW
375,BOARDMAN_1,16,0.0,PNW
376,BOARDMAN_1,17,0.0,PNW
377,BOARDMAN_1,18,0.0,PNW
378,BOARDMAN_1,19,0.0,PNW
379,BOARDMAN_1,20,0.0,PNW
380,BOARDMAN_1,21,0.0,PNW
381,BOARDMAN_1,22,0.0,PNW
382,BOARDMAN_1,23,0.0,PNW
383,BOARDMAN_1,24,0.0,PNW
384,BOULDER_PARK_6,1,0.0,PNW
385,BOULDER_PARK_6,2,0.0,PNW
386,BOULDER_PARK_6,3,0.0,PNW
387,BOULDER_PARK_6,4,0.0,PNW
388,BOULDER_PARK_6,5,0.0,PNW
389,BOULDER_PARK_6,6,0.0,PNW
390,BOULDER_PARK_6,7,0.0,PNW
391,BOULDER_PARK_6,8,0.0,PNW
392,BOULDER_PARK_6,9,0.0,PNW
393,BOULDER_PARK_6,10,0.0,PNW
394,BOULDER_PARK_6,11,4.1,PNW
395,BOULDER_PARK_6,12,0.0,PNW
396,BOULDER_PARK_6,13,0.0,PNW
397,BOULDER_PARK_6,14,4.1,PNW
398,BOULDER_PARK_6,15,0.0,PNW
399,BOULDER_PARK_6,16,0.0,PNW
400,BOULDER_PARK_6,17,0.0,PNW
401,BOULDER_PARK_6,18,0.0,PNW
402,BOULDER_PARK_6,19,0.0,PNW
403,BOULDER_PARK_6,20,0.0,PNW
404,BOULDER_PARK_6,21,0.0,PNW
405,BOULDER_PARK_6,22,4.1,PNW
406,BOULDER_PARK_6,23,0.0,PNW
407,BOULDER_PARK_6,24,0.0,PNW
408,RATHDRUM_1,1,0.0,PNW
409,RATHDRUM_1,2,0.0,PNW
410,RATHDRUM_1,3,0.0,PNW
411,RATHDRUM_1,4,0.0,PNW
412,RATHDRUM_1,5,0.0,PNW
413,RATHDRUM_1,6,0.0,PNW
414,RATHDRUM_1,7,0.0,PNW
415,RATHDRUM_1,8,83.2,PNW
416,RATHDRUM_1,9,0.0,PNW
417,RATHDRUM_1,10,0.0,PNW
418,RATHDRUM_1,11,83.2,PNW
419,RATHDRUM_1,12,0.0,PNW
420,RATHDRUM_1,13,0.0,PNW
421,RATHDRUM_1,14,0.0,PNW
422,RATHDRUM_1,15,0.0,PNW
423,RATHDRUM_1,16,0.0,PNW
424,RATHDRUM_1,17,0.0,PNW
425,RATHDRUM_1,18,0.0,PNW
426,RATHDRUM_1,19,0.0,PNW
427,RATHDRUM_1,20,0.0,PNW
428,RATHDRUM_1,21,0.0,PNW
429,RATHDRUM_1,22,0.0,PNW
430,RATHDRUM_1,23,0.0,PNW
431,RATHDRUM_1,24,0.0,PNW
432,BOULDER_PARK_2,1,0.0,PNW
433,BOULDER_PARK_2,2,0.0,PNW
434,BOULDER_PARK_2,3,0.0,PNW
435,BOULDER_PARK_2,4,0.0,PNW
436,BOULDER_PARK_2,5,0.0,PNW
437,BOULDER_PARK_2,6,0.0,PNW
438,BOULDER_PARK_2,7,0.0,PNW
439,BOULDER_PARK_2,8,0.0,PNW
440,BOULDER_PARK_2,9,0.0,PNW
441,BOULDER_PARK_2,10,0.0,PNW
442,BOULDER_PARK_2,11,0.0,PNW
443,BOULDER_PARK_2,12,0.0,PNW
444,BOULDER_PARK_2,13,0.0,PNW
445,BOULDER_PARK_2,14,0.0,PNW
446,BOULDER_PARK_2,15,0.0,PNW
447,BOULDER_PARK_2,16,0.0,PNW
448,BOULDER_PARK_2,17,0.0,PNW
449,BOULDER_PARK_2,18,0.0,PNW
450,BOULDER_PARK_2,19,0.0,PNW
451,BOULDER_PARK_2,20,0.0,PNW
452,BOULDER_PARK_2,21,0.0,PNW
453,BOULDER_PARK_2,22,0.0,PNW
454,BOULDER_PARK_2,23,0.0,PNW
455,BOULDER_PARK_2,24,0.0,PNW
456,CHEHALIS_CA,1,230.0,PNW
457,CHEHALIS_CA,2,0.0,PNW
458,CHEHALIS_CA,3,0.0,PNW
459,CHEHALIS_CA,4,0.0,PNW
460,CHEHALIS_CA,5,0.0,PNW
461,CHEHALIS_CA,6,0.0,PNW
462,CHEHALIS_CA,7,0.0,PNW
463,CHEHALIS_CA,8,0.0,PNW
464,CHEHALIS_CA,9,230.0,PNW
465,CHEHALIS_CA,10,0.0,PNW
466,CHEHALIS_CA,11,0.0,PNW
467,CHEHALIS_CA,12,0.0,PNW
468,CHEHALIS_CA,13,11.190261314701507,PNW
469,CHEHALIS_CA,14,0.0,PNW
470,CHEHALIS_CA,15,0.0,PNW
471,CHEHALIS_CA,16,0.0,PNW
472,CHEHALIS_CA,17,0.0,PNW
473,CHEHALIS_CA,18,0.0,PNW
474,CHEHALIS_CA,19,212.02268314372336,PNW
475,CHEHALIS_CA,20,0.0,PNW
476,CHEHALIS_CA,21,222.67919262148328,PNW
477,CHEHALIS_CA,22,230.0,PNW
478,CHEHALIS_CA,23,0.0,PNW
479,CHEHALIS_CA,24,0.0,PNW
480,KLAMATH_COGEN_CT1,1,0.0,PNW
481,KLAMATH_COGEN_CT1,2,0.0,PNW
482,KLAMATH_COGEN_CT1,3,0.0,PNW
483,KLAMATH_COGEN_CT1,4,0.0,PNW
484,KLAMATH_COGEN_CT1,5,0.0,PNW
485,KLAMATH_COGEN_CT1,6,0.0,PNW
486,KLAMATH_COGEN_CT1,7,0.0,PNW
487,KLAMATH_COGEN_CT1,8,0.0,PNW
488,KLAMATH_COGEN_CT1,9,0.0,PNW
489,KLAMATH_COGEN_CT1,10,14.268515334628319,PNW
490,KLAMATH_COGEN_CT1,11,0.0,PNW
491,KLAMATH_COGEN_CT1,12,161.5,PNW
492,KLAMATH_COGEN_CT1,13,0.0,PNW
493,KLAMATH_COGEN_CT1,14,0.0,PNW
494,KLAMATH_COGEN_CT1,15,0.0,PNW
495,KLAMATH_COGEN_CT1,16,0.0,PNW
496,KLAMATH_COGEN_CT1,17,0.0,PNW
497,KLAMATH_COGEN_CT1,18,0.0,PNW
498,KLAMATH_COGEN_CT1,19,0.0,PNW
499,KLAMATH_COGEN_CT1,20,0.0,PNW
500,KLAMATH_COGEN_CT1,21,0.0,PNW
501,KLAMATH_COGEN_CT1,22,0.0,PNW
502,KLAMATH_COGEN_CT1,23,0.0,PNW
503,KLAMATH_COGEN_CT1,24,0.0,PNW
504,HERMISTON_PWR_STG1,1,0.0,PNW
505,HERMISTON_PWR_STG1,2,0.0,PNW
506,HERMISTON_PWR_STG1,3,0.0,PNW
507,HERMISTON_PWR_STG1,4,0.0,PNW
508,HERMISTON_PWR_STG1,5,0.0,PNW
509,HERMISTON_PWR_STG1,6,0.0,PNW
510,HERMISTON_PWR_STG1,7,0.0,PNW
511,HERMISTON_PWR_STG1,8,0.0,PNW
512,HERMISTON_PWR_STG1,9,0.0,PNW
513,HERMISTON_PWR_STG1,10,0.0,PNW
514,HERMISTON_PWR_STG1,11,0.0,PNW
515,HERMISTON_PWR_STG1,12,0.0,PNW
516,HERMISTON_PWR_STG1,13,0.0,PNW
517,HERMISTON_PWR_STG1,14,0.0,PNW
518,HERMISTON_PWR_STG1,15,0.0,PNW
519,HERMISTON_PWR_STG1,16,0.0,PNW
520,HERMISTON_PWR_STG1,17,0.0,PNW
521,HERMISTON_PWR_STG1,18,264.4,PNW
522,HERMISTON_PWR_STG1,19,0.0,PNW
523,HERMISTON_PWR_STG1,20,0.0,PNW
524,HERMISTON_PWR_STG1,21,0.0,PNW
525,HERMISTON_PWR_STG1,22,0.0,PNW
526,HERMISTON_PWR_STG1,23,0.0,PNW
527,HERMISTON_PWR_STG1,24,0.0,PNW
528,KLAMATH_EXPANSION_GT1,1,0.0,PNW
529,KLAMATH_EXPANSION_GT1,2,0.0,PNW
530,KLAMATH_EXPANSION_GT1,3,0.0,PNW
531,KLAMATH_EXPANSION_GT1,4,0.0,PNW
532,KLAMATH_EXPANSION_GT1,5,0.0,PNW
533,KLAMATH_EXPANSION_GT1,6,0.0,PNW
534,KLAMATH_EXPANSION_GT1,7,0.0,PNW
535,KLAMATH_EXPANSION_GT1,8,0.0,PNW
536,KLAMATH_EXPANSION_GT1,9,0.0,PNW
537,KLAMATH_EXPANSION_GT1,10,0.0,PNW
538,KLAMATH_EXPANSION_GT1,11,0.0,PNW
539,KLAMATH_EXPANSION_GT1,12,0.0,PNW
540,KLAMATH_EXPANSION_GT1,13,29.4,PNW
541,KLAMATH_EXPANSION_GT1,14,0.0,PNW
542,KLAMATH_EXPANSION_GT1,15,0.0,PNW
543,KLAMATH_EXPANSION_GT1,16,0.0,PNW
544,KLAMATH_EXPANSION_GT1,17,0.0,PNW
545,KLAMATH_EXPANSION_GT1,18,29.4,PNW
546,KLAMATH_EXPANSION_GT1,19,0.0,PNW
547,KLAMATH_EXPANSION_GT1,20,0.0,PNW
548,KLAMATH_EXPANSION_GT1,21,0.0,PNW
549,KLAMATH_EXPANSION_GT1,22,0.0,PNW
550,KLAMATH_EXPANSION_GT1,23,0.0,PNW
551,KLAMATH_EXPANSION_GT1,24,0.0,PNW
552,GRAYS_HARBOR_CT2,1,0.0,PNW
553,GRAYS_HARBOR_CT2,2,0.0,PNW
554,GRAYS_HARBOR_CT2,3,0.0,PNW
555,GRAYS_HARBOR_CT2,4,0.0,PNW
556,GRAYS_HARBOR_CT2,5,0.0,PNW
557,GRAYS_HARBOR_CT2,6,0.0,PNW
558,GRAYS_HARBOR_CT2,7,0.0,PNW
559,GRAYS_HARBOR_CT2,8,0.0,PNW
560,GRAYS_HARBOR_CT2,9,0.0,PNW
561,GRAYS_HARBOR_CT2,10,0.0,PNW
562,GRAYS_HARBOR_CT2,11,0.0,PNW
563,GRAYS_HARBOR_CT2,12,198.9,PNW
564,GRAYS_HARBOR_CT2,13,0.0,PNW
565,GRAYS_HARBOR_CT2,14,0.0,PNW
566,GRAYS_HARBOR_CT2,15,0.0,PNW
