,Constraint,Time,Value
223,Bal2Constraint,56,33.7486
224,Bal2Constraint,57,33.7486
225,Bal2Constraint,58,33.7486
226,Bal2Constraint,59,33.7486
227,Bal2Constraint,60,33.7486
228,Bal2Constraint,61,33.7486
229,Bal2Constraint,62,33.7486
230,Bal2Constraint,63,33.7486
231,Bal2Constraint,64,33.7486
232,Bal2Constraint,65,33.7486
233,Bal2Constraint,66,33.7486
234,Bal2Constraint,67,33.7486
235,Bal2Constraint,68,33.7486
236,Bal2Constraint,69,33.7486
237,Bal2Constraint,70,33.7486
238,Bal2Constraint,71,33.7486
239,Bal2Constraint,72,33.7486
240,Bal3Constraint,49,39.458600000000004
241,Bal3Constraint,50,39.458600000000004
242,Bal3Constraint,51,39.458600000000004
243,Bal3Constraint,52,38.29639999999999
244,Bal3Constraint,53,38.29639999999999
245,Bal3Constraint,54,39.458600000000004
246,Bal3Constraint,55,39.458600000000004
247,Bal3Constraint,56,39.458600000000004
248,Bal3Constraint,57,39.458600000000004
249,Bal3Constraint,58,37.589
250,Bal3Constraint,59,39.458600000000004
251,Bal3Constraint,60,39.458600000000004
252,Bal3Constraint,61,39.458600000000004
253,Bal3Constraint,62,39.458600000000004
254,Bal3Constraint,63,39.458600000000004
255,Bal3Constraint,64,39.458600000000004
256,Bal3Constraint,65,39.458600000000004
257,Bal3Constraint,66,39.458600000000004
258,Bal3Constraint,67,39.458600000000004
259,Bal3Constraint,68,39.458600000000004
260,Bal3Constraint,69,39.458600000000004
261,Bal3Constraint,70,39.458600000000004
262,Bal3Constraint,71,39.458600000000004
263,Bal3Constraint,72,39.458600000000004
264,Bal4Constraint,49,46.1636
265,Bal4Constraint,50,45.0014
266,Bal4Constraint,51,39.824
267,Bal4Constraint,52,39.458600000000004
268,Bal4Constraint,53,39.458600000000004
269,Bal4Constraint,54,39.458600000000004
270,Bal4Constraint,55,45.0014
271,Bal4Constraint,56,46.1636
272,Bal4Constraint,57,45.0014
273,Bal4Constraint,58,39.458600000000004
274,Bal4Constraint,59,39.458600000000004
275,Bal4Constraint,60,39.458600000000004
276,Bal4Constraint,61,39.458600000000004
277,Bal4Constraint,62,39.458600000000004
278,Bal4Constraint,63,45.0014
279,Bal4Constraint,64,46.1636
280,Bal4Constraint,65,47.3258
281,Bal4Constraint,66,49.418600000000005
282,Bal4Constraint,67,49.418600000000005
283,Bal4Constraint,68,49.418600000000005
284,Bal4Constraint,69,49.418600000000005
285,Bal4Constraint,70,49.418600000000005
286,Bal4Constraint,71,49.418600000000005
287,Bal4Constraint,72,49.418600000000005
